     IDoc Number		Date	Time		Direction		Partner	Status	Descr.	IDoc type	Messg.Type	Test	Port
Number	Segment type			Number		Hier.level							
													
219748396		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748397		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748398		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748399		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748400		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748401		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748402		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748403		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748404		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748405		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748406		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748407		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748408		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748409		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748410		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748411		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748412		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748413		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748414		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748415		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748416		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748417		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748418		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748419		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748420		9/2/2013	23:47:05		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748421		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748422		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748423		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748424		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748425		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748426		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748427		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748428		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748429		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748430		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748431		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748432		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748433		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748434		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748435		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
219748436		9/2/2013	23:47:06		1		LS/  /TIBCO	3	Data passed to port OK		ZGOODS_MOV_UPD		TZWMMBID02
													
